11402372   20230522328734550001081    20        45164     9BG144DK0PC4488234  035LEVYE20             999900000000001402372                                 0100000000000021736510000000000000000000000000000000000000000000000022843800000000000000000000000000000000000000000000000000000000
1484674    20230519000013129744946    20149     124569    9BD341A6XJY4715434  035NATAN               9   0000000676484674                                  1000000000000003983472000000000004200000000000000000000000000000000004200000000000000000000000000000000000042000000000000000000000
1484875    20230522000106158974956    20149     124664    988226125JKB697324  035PAMELAA             9   0000001966484875                                  1000000000000008110253000000000009000000000000000000000000000000000009000000000000000000000000000000000000090000000000000000000000
1483294    20230505000110873374376    20149     124583    9BD341ACZPY7986344  035IAGO                9   0000000680483294                                  1000000000000006281217000000000006399000000000000000000000000000000006399000000000000000000000000000000000057591000000000000000000
1483452    202305083074276800010016   20324     125426    93HGE6850EZ1074844  035GERENTE_E           9   0000000676483452                                  1000000000000004090500000000000004300000000000000000000000000000000004300000000000000000000000000000000000038700000000000000000000
1485124    202305250000739327941016   20324     124491    93HGE6750EZ1046374  035GERENTE_E           9   0000000676485124                                  1000000000000003682808000000000003820000000000000000000000000000000003820000000000000000000000000000000000038200000000000000000000
1484511    202305180009041035141516   20324     995392    93HRV2870MK2296334  035NATAN               9   0000000676484511                                  1000000000000011471991000000000011000000000000000000000000000000000011000000000000000000000000000000000000110000000000000000000000
1484672    202305190000102872813117   20335     995455    9BR53ZEC1685443654  035GERENTE_E           9   0000000676484672                                  1000000000000002161365000000000002200000000000000000000000000000000002200000000000000000000000000000000000013200000000000000000000
1485412    2023052900009530507429214  40329     124978    9362NKFWXDB0222794  035GERENTE_E           9   0000000676485412                                  1000000000000001557702000000000001100000000000000000000000000000000001100000000000000000000000000000000000011000000000000000000000
1483934    20230512000065909414241900 40334     124986    9BHBG51DAFP5110944  035NATAN               9   0000000677483934                                  1000000000000005620548000000000005500000000000000000000000000000000005500000000000000000000000000000000000055000000000000000000000
1484573    20230519000150904934721900 40334     124903    9BHGA811AJP0445064  035WENDELLD            9   0000000677484573                                  1000000000000007765725000000000007500000000000000000000000000000000007500000000000000000000000000000000000075000000000000000000000
1485268    20230526000938218914911900 40334     125340    9BHCN51AAPP4276234  035FRANCISCO           9   0000000676485268                                  1000000000000007313265000000000007400000000000000000000000000000000007400000000000000000000000000000000000074000000000000000000000
1485782    20230531000060336354771900 40334     125340    9BHCN51AALP0650604  035WENDELLD            9   0000000688485782                                  1000000000000004978679000000000005200000000000000000000000000000000005200000000000000000000000000000000000052000000000000000000000
1484422    20230517000035246864511900 40334     995426    9BHGB811BMP2464994  035PAMELAA             9   0000000676484422                                  1000000000000008904446000000000009668400000000000000000000000000000009668400000000000000000000000000000000096684000000000000000000
1485605    20230530000081909214281900 40334     125340    9BHCN51AALP0661994  035PEDROH              9   0000000676485605                                  1000000000000004847873000000000005267400000000000000000000000000000005267400000000000000000000000000000000052674000000000000000000
1484526    20230518000091624874772200 20328     124788    94DFFUK13HB1077494  035GERENTE_E           9   0000000676484526                                  1000000000000003066375000000000003250000000000000000000000000000000003250000000000000000000000000000000000032500000000000000000000
